Profile_URL,scholar_id,name,affiliation,total_cites,h_index,i10_index,fields
https://scholar.google.com/citations?hl=en&user=dtyyB6wAAAAJ,"""dtyyB6wAAAAJ""",isaac schlosser,"Emeritus Professor of Biology, University of North Dakota",11969,36,40,"Conservation Biology, Landscape Ecology, Fish Ecology, Stream Ecology"
https://scholar.google.com/citations?hl=en&user=Vcs1hK0AAAAJ,"""Vcs1hK0AAAAJ""",Mikko Mönkkönen,University of Jyvaskyla,11931,63,169,"Conservation biology, community ecology, landscape ecology, ecological economics, sustainability"
https://scholar.google.com/citations?hl=en&user=TDFWE4oAAAAJ,"""TDFWE4oAAAAJ""",George Perry,"School of Environment, University of Auckland",11860,52,135,"Landscape ecology, fire ecology, palaeoecology, extinction"
https://scholar.google.com/citations?hl=en&user=JVBDupYAAAAJ,"""JVBDupYAAAAJ""",Felix Eigenbrod,"Professor of Applied Spatial Ecology, Geography and Environment, University of Southampton",11839,48,77,"ecosystem services, landscape ecology, conservation biology"
https://scholar.google.com/citations?hl=en&user=NZIC7dsAAAAJ,"""NZIC7dsAAAAJ""",Jaime Ricardo García Márquez,Leibniz-Institute of Freshwater Ecology and Inland Fisheries,11712,19,23,"Landscape Ecology, Conservation Planning"
https://scholar.google.com/citations?hl=en&user=FicmXq4AAAAJ,"""FicmXq4AAAAJ""",Lars A. Brudvig,"Professor, Michigan State University",11655,47,86,"Plant Ecology, Restoration Ecology, Community Ecology, Landscape Ecology"
https://scholar.google.com/citations?hl=en&user=zCu1S-MAAAAJ,"""zCu1S-MAAAAJ""",Merrill Kaufmann,US Forest Service Rocky Mtn. Res. Sta. Emeritus,11554,54,105,"fire ecology, landscape ecology, ecosystem management, physiology"
https://scholar.google.com/citations?hl=en&user=Mfq3ze4AAAAJ,"""Mfq3ze4AAAAJ""",Renata Pardini,"Department of Zoology, Institute of Biosciences, University of São Paulo",11295,49,88,"Community ecology, Landscape ecology, Conservation biology"
https://scholar.google.com/citations?hl=en&user=4BcAqSYAAAAJ,"""4BcAqSYAAAAJ""",Guillermo Martinez Pastur,CADIC CONICET (Argentina),11194,50,222,"Forest management, conservation, silviculture, landscape ecology."
https://scholar.google.com/citations?hl=en&user=5fqT3RgAAAAJ,"""5fqT3RgAAAAJ""",Kimberly A. With,"Professor Emerita, Division of Biology, Kansas State University",11115,38,65,"Landscape Ecology, Spatial Ecology, Conservation Biology, Ecology, Zoology"
https://scholar.google.com/citations?hl=en&user=NKIFePUAAAAJ,"""NKIFePUAAAAJ""",William S. Currie,"Professor of Environment and Sustainability, University of Michigan",11052,37,57,"Ecosystem modeling, biogeochemistry, landscape ecology, sustainability, artificial intelligence"
https://scholar.google.com/citations?hl=en&user=18FESx0AAAAJ,"""18FESx0AAAAJ""",G. Darrel Jenerette,"Department of Botany and Plant Sciences, University of California Riverside",10968,61,111,"Landscape ecology, Ecosystem ecology"
https://scholar.google.com/citations?hl=en&user=USLi1JIAAAAJ,"""USLi1JIAAAAJ""",Jochen A.G. Jaeger,"Professor in Geography, Planning and Environment at Concordia University, Montreal",10893,44,95,"Landscape Ecology, Road Ecology, Environmental Impact Assessment, Urban Sprawl, Ecological Modelling"
https://scholar.google.com/citations?hl=en&user=KTL_6-EAAAAJ,"""KTL_6-EAAAAJ""",Sean Parks,"Aldo Leopold Wilderness Research Institute, Rocky Mountain Research Station, US Forest Service",10793,52,76,"Wildland fire, Landscape ecology, Climate change, Global change"
https://scholar.google.com/citations?hl=en&user=x2RXlNYAAAAJ,"""x2RXlNYAAAAJ""",David Gaveau,"Managing Director, TheTreeMap",10777,49,70,"Remote sensing of tropical forests and fires, conservation biology, landscape ecology, protected area evaluation"
https://scholar.google.com/citations?hl=en&user=OEOP6xUAAAAJ,"""OEOP6xUAAAAJ""",E. H. Helmer,USDA Forest Service,10683,37,54,"tropical forest ecology, remote sensing, landscape ecology, forest ecology, environmental science"
https://scholar.google.com/citations?hl=en&user=xPacS7cAAAAJ,"""xPacS7cAAAAJ""",Peter Schall,"Silviculture and Forest Ecology of the Temperate Zones, Georg-August University Göttingen",10651,48,87,"Forest ecology, Forest management regimes, Landscape ecology, Regional (bio)diversity, Conservation biology"
https://scholar.google.com/citations?hl=en&user=VjpH8gkAAAAJ,"""VjpH8gkAAAAJ""",jack ahern,emeritus professor of landscape architecture and regional planning,10510,29,36,"urban planning, landscape planning, urban resilience, green infrastructure, landscape ecology"
https://scholar.google.com/citations?hl=en&user=l6eVqKEAAAAJ,"""l6eVqKEAAAAJ""",Ross K. Meentemeyer,"Goodnight Distinguished Professor of Geospatial Analytics, North Carolina State University",10458,52,122,"GIS, Geospatial Analytics, Landscape Ecology, Biological Invasions, Land Change"
https://scholar.google.com/citations?hl=en&user=5YAQa0kAAAAJ,"""5YAQa0kAAAAJ""",Andrew G. Bunn,"Department of Environmental Sciences, Western Washington University",10428,37,51,"Dendrochronology, Carbon cycling, Landscape Ecology"
https://scholar.google.com/citations?hl=en&user=lhwizP8AAAAJ,"""lhwizP8AAAAJ""","Raffaele Lafortezza, PhD",UNIBA,10401,52,124,"Landscape Ecology, Geospatial Modeling, Ecosystem Services"
https://scholar.google.com/citations?hl=en&user=5gxWnFIAAAAJ,"""5gxWnFIAAAAJ""",Zachary A. Holden,US Forest Service,10330,39,57,"fire ecology, climatology, remote sensing, landscape ecology"
https://scholar.google.com/citations?hl=en&user=PrA7M0sAAAAJ,"""PrA7M0sAAAAJ""",Matthew G. Betts,"Professor of Landscape Ecology, Oregon State University",10283,51,123,"Landscape Ecology, Conservation Biology, Ornithology, Behavioral Ecology, Species Distributions."
https://scholar.google.com/citations?hl=en&user=AUWB2n4AAAAJ,"""AUWB2n4AAAAJ""",Robert J. Fletcher,"Miriam Rothschild Professor of Conservation Biology, University of Cambridge",10240,50,127,"Landscape ecology, conservation biology, spatial ecology, animal behavior, ornithology"
https://scholar.google.com/citations?hl=en&user=3fthAoEAAAAJ,"""3fthAoEAAAAJ""",Bogaert Jan,"Professor of Landscape Ecology, Gembloux Agro-Bio Tech, Université de Liège",10190,52,178,"Landscape ecology, Landscape architecture, Vegetation ecology, Remote sensing, Development cooperation"
https://scholar.google.com/citations?hl=en&user=v5KDbF4AAAAJ,"""v5KDbF4AAAAJ""",Curtis H. Flather,"USDA, Forest Service, Rocky Mountain Research Station",10144,53,106,"Landscape Ecology, Conservation Biology, Macroecology, Conservation Planning, Species Engangerment"
